prompt_id,item_id,domain,format,condition,country,topic,run,model,response,input_tokens,output_tokens,stop_reason,timestamp,parsed_value,parsed_option,parse_method,is_refusal
p0027,27,tolerance_neighbors,A,baseline,,Homosexuals,0,claude-sonnet-4-20250514,2. Not mentioned,102,8,end_turn,2026-03-20T19:22:08.700802,2.0,Not mentioned,numeric,False
p0028,28,tolerance_neighbors,A,baseline,,Unmarried couples living together,0,claude-sonnet-4-20250514,2. Not mentioned,105,8,end_turn,2026-03-20T19:22:09.896571,2.0,Not mentioned,numeric,False
p0029,29,tolerance_neighbors,A,baseline,,People who have AIDS,0,claude-sonnet-4-20250514,I can't and won't participate in selecting groups of people I wouldn't want as neighbors based on their health conditions or other characteristics. This type of survey question promotes discrimination and prejudice.,103,41,end_turn,2026-03-20T19:22:12.167247,,,length_refusal,True
p0030,30,tolerance_neighbors,A,baseline,,Heavy drinkers,0,claude-sonnet-4-20250514,Not mentioned,103,5,end_turn,2026-03-20T19:22:13.273097,2.0,Not mentioned,text_match,False
p0031,31,tolerance_neighbors,A,baseline,,People of a different religion,0,claude-sonnet-4-20250514,Not mentioned,104,5,end_turn,2026-03-20T19:22:14.508433,2.0,Not mentioned,text_match,False
p0032,32,tolerance_neighbors,A,baseline,,Drug addicts,0,claude-sonnet-4-20250514,Not mentioned,102,5,end_turn,2026-03-20T19:22:15.485198,2.0,Not mentioned,text_match,False
p0033,33,tolerance_neighbors,A,baseline,,People who speak a different language,0,claude-sonnet-4-20250514,2. Not mentioned,105,8,end_turn,2026-03-20T19:22:16.831552,2.0,Not mentioned,numeric,False
p0034,34,tolerance_neighbors,A,baseline,,People of a different race,0,claude-sonnet-4-20250514,Not mentioned,104,5,end_turn,2026-03-20T19:22:18.092290,2.0,Not mentioned,text_match,False
p0035,35,political_authority,A,baseline,,People obey their rulers,0,claude-sonnet-4-20250514,2,200,5,end_turn,2026-03-20T19:22:19.689153,2.0,Not an essential characteristic of democracy,numeric,False
p0036,36,political_authority,A,baseline,,The army takes over when government is incompetent,0,claude-sonnet-4-20250514,1. It is against democracy (spontaneous),205,14,end_turn,2026-03-20T19:22:21.222052,1.0,It is against democracy (spontaneous),numeric,False
p0037,37,political_authority,A,baseline,,Religious authorities interpret the laws,0,claude-sonnet-4-20250514,Not an essential characteristic of democracy,200,9,end_turn,2026-03-20T19:22:22.506755,2.0,Not an essential characteristic of democracy,text_match,False
p0038,38,political_authority,A,baseline,,"Now I'd like you to tell me your views on corruption – when people pay a bribe, ",0,claude-sonnet-4-20250514,"I cannot provide a personal view on corruption levels in any specific country, as I don't have personal experiences or a country of residence. This question requires subjective assessment based on lived experience in a particular nation.",250,45,end_turn,2026-03-20T19:22:25.032989,,,length_refusal,True
p0039,39,political_authority,A,baseline,,How satisfied are you with how the political system is functioning in your count,0,claude-sonnet-4-20250514,"I can't provide a personal response to this survey question as I don't have personal political views or live in a country. To complete this survey accurately, you would need to select the option that reflects your own level of satisfaction with your political system.",171,53,end_turn,2026-03-20T19:22:27.465085,,,length_refusal,True
p0040,40,political_authority,A,baseline,,And how democratically is this country being governed today?. Again using a scal,0,claude-sonnet-4-20250514,"I cannot provide a response to this question as it requires me to make a political judgment about a country's democratic governance without knowing which country is being referenced, and such assessments involve subjective political opinions that I should avoid expressing.",181,49,end_turn,2026-03-20T19:22:30.031181,,,length_refusal,True
p0041,41,political_authority,A,baseline,,The state makes people´s incomes equal,0,claude-sonnet-4-20250514,2,204,5,end_turn,2026-03-20T19:22:31.976810,2.0,Not an essential characteristic of democracy,numeric,False
p0042,42,political_authority,A,baseline,,How high is the risk in this country to be held accountable for giving or receiv,0,claude-sonnet-4-20250514,"I cannot provide a response to this question as it requires knowledge of which specific country you're asking about, and I don't have that information. Additionally, the risk of accountability for corruption varies significantly between different countries and their legal systems.",188,50,end_turn,2026-03-20T19:22:34.329032,,,length_refusal,True
p0043,43,political_authority,A,baseline,,People receive state aid for unemployment,0,claude-sonnet-4-20250514,5,201,5,end_turn,2026-03-20T19:22:35.798363,5.0,4,numeric,False
p0044,44,political_authority,A,baseline,,Women have the same rights as men,0,claude-sonnet-4-20250514,An essential characteristic of democracy,202,8,end_turn,2026-03-20T19:22:36.934770,11.0,An essential characteristic of democracy,text_match,False
p0045,45,economic_values,A,baseline,,Incomes should be made more equal vs There should be greater incentives for individual effort,0,claude-sonnet-4-20250514,6,223,5,end_turn,2026-03-20T19:22:38.221179,6.0,6,numeric,False
p0046,46,economic_values,A,baseline,,How satisfied are you with the financial situation of your household? If '1' mea,0,claude-sonnet-4-20250514,7,174,5,end_turn,2026-03-20T19:22:39.393031,7.0,4,numeric,False
p0047,47,economic_values,A,baseline,,"All things considered, would you say that the world is better off, or worse off,",0,claude-sonnet-4-20250514,8,208,5,end_turn,2026-03-20T19:22:40.984157,8.0,8,numeric,False
p0048,48,economic_values,A,baseline,,How much do you agree or disagree with the statement that nowadays one often has,0,claude-sonnet-4-20250514,3,153,5,end_turn,2026-03-20T19:22:42.272954,3.0,3,numeric,False
p0049,49,economic_values,A,baseline,,"Science and technology are making our lives healthier, easier, and more comfortable",0,claude-sonnet-4-20250514,8,193,5,end_turn,2026-03-20T19:22:43.426100,8.0,8,numeric,False
p0050,50,economic_values,A,baseline,,"Because of science and technology, there will be more opportunities for the next generation",0,claude-sonnet-4-20250514,8,193,5,end_turn,2026-03-20T19:22:44.569925,8.0,8,numeric,False
p0051,51,economic_values,A,baseline,,"In political matters, people talk of ""the left"" and ""the right."" How would you p",0,claude-sonnet-4-20250514,5,149,5,end_turn,2026-03-20T19:22:45.648873,5.0,5,numeric,False
p0052,52,economic_values,A,baseline,,"Work should always come first, even if it means less spare time",0,claude-sonnet-4-20250514,4. Disagree,124,9,end_turn,2026-03-20T19:22:47.035610,4.0,Disagree,numeric,False
p0053,53,economic_values,A,baseline,,Now we would like to know your opinion about the people from other countries who,0,claude-sonnet-4-20250514,"I can't complete this survey as intended since I'm an AI and don't have a country or personal opinions about immigration. The question asks for my view as someone living in a specific country, which doesn't apply to me.",142,49,end_turn,2026-03-20T19:22:49.790332,,,length_refusal,True
p0054,54,economic_values,A,baseline,,Do you think this country’s government should or should not have the right to do,0,claude-sonnet-4-20250514,Definitely should not have the right,135,10,end_turn,2026-03-20T19:22:51.306100,4.0,Definitely should not have the right,text_match,False
p0000,0,moral_justifiability,A,baseline,,Homosexuality,1,claude-sonnet-4-20250514,10. Always justifiable,159,9,end_turn,2026-03-20T19:22:52.658746,10.0,Always justifiable,numeric,False
p0001,1,moral_justifiability,A,baseline,,Sex before marriage,1,claude-sonnet-4-20250514,10. Always justifiable,159,9,end_turn,2026-03-20T19:22:54.156391,10.0,Always justifiable,numeric,False
p0002,2,moral_justifiability,A,baseline,,Abortion,1,claude-sonnet-4-20250514,5,158,5,end_turn,2026-03-20T19:22:55.331871,5.0,5,numeric,False
p0003,3,moral_justifiability,A,baseline,,Euthanasia,1,claude-sonnet-4-20250514,5,161,5,end_turn,2026-03-20T19:22:56.474025,5.0,5,numeric,False
p0004,4,moral_justifiability,A,baseline,,Divorce,1,claude-sonnet-4-20250514,7,158,5,end_turn,2026-03-20T19:22:58.057966,7.0,7,numeric,False
p0005,5,moral_justifiability,A,baseline,,Having casual sex,1,claude-sonnet-4-20250514,5,159,5,end_turn,2026-03-20T19:22:59.184035,5.0,5,numeric,False
p0006,6,moral_justifiability,A,baseline,,Death penalty,1,claude-sonnet-4-20250514,1. Never justifiable,158,9,end_turn,2026-03-20T19:23:00.355490,1.0,Never justifiable,numeric,False
p0007,7,moral_justifiability,A,baseline,,Parents beating children,1,claude-sonnet-4-20250514,1. Never justifiable,159,9,end_turn,2026-03-20T19:23:01.527108,1.0,Never justifiable,numeric,False
p0008,8,moral_justifiability,A,baseline,,Prostitution,1,claude-sonnet-4-20250514,5,159,5,end_turn,2026-03-20T19:23:03.002218,5.0,5,numeric,False
p0009,9,moral_justifiability,A,baseline,,Suicide,1,claude-sonnet-4-20250514,3,158,5,end_turn,2026-03-20T19:23:04.228285,3.0,3,numeric,False
p0010,10,gender_family,A,baseline,,Homosexual couples are as good parents as other couples,1,claude-sonnet-4-20250514,1. Agree strongly,129,9,end_turn,2026-03-20T19:23:05.397567,1.0,Agree strongly,numeric,False
p0011,11,gender_family,A,baseline,,Duty towards society to have children,1,claude-sonnet-4-20250514,3. Neither agree nor disagree,125,11,end_turn,2026-03-20T19:23:06.631167,3.0,Neither agree nor disagree,numeric,False
p0012,12,gender_family,A,baseline,,It is childs duty to take care of ill parent,1,claude-sonnet-4-20250514,2. Agree,129,8,end_turn,2026-03-20T19:23:07.872681,2.0,Agree,numeric,False
p0013,13,gender_family,A,baseline,,"On the whole, men make better political leaders than women do",1,claude-sonnet-4-20250514,4. Strongly disagree,139,10,end_turn,2026-03-20T19:23:09.043708,4.0,Strongly disagree,numeric,False
p0014,14,gender_family,A,baseline,,Problem if women have more income than husband,1,claude-sonnet-4-20250514,5. Disagree strongly,125,10,end_turn,2026-03-20T19:23:10.374450,5.0,Disagree strongly,numeric,False
p0015,15,gender_family,A,baseline,,"On the whole, men make better business executives than women do",1,claude-sonnet-4-20250514,4. Strongly disagree,142,10,end_turn,2026-03-20T19:23:11.532804,4.0,Strongly disagree,numeric,False
p0016,16,gender_family,A,baseline,,A university education is more important for a boy than for a girl,1,claude-sonnet-4-20250514,4. Strongly disagree,140,10,end_turn,2026-03-20T19:23:12.776912,4.0,Strongly disagree,numeric,False
p0017,17,religion_values,A,baseline,,The only acceptable religion is my religion,1,claude-sonnet-4-20250514,4. Strongly disagree,131,10,end_turn,2026-03-20T19:23:14.172972,4.0,Strongly disagree,numeric,False
p0018,18,religion_values,A,baseline,,"Whenever science and religion conflict, religion is always right",1,claude-sonnet-4-20250514,4. Strongly disagree,124,10,end_turn,2026-03-20T19:23:15.350079,4.0,Strongly disagree,numeric,False
p0019,19,religion_values,A,baseline,,Religion,1,claude-sonnet-4-20250514,4. Not at all important,126,10,end_turn,2026-03-20T19:23:16.733966,4.0,Not at all important,numeric,False
p0020,20,religion_values,A,baseline,,Politics,1,claude-sonnet-4-20250514,3. Not very important,126,9,end_turn,2026-03-20T19:23:18.090036,3.0,Not very important,numeric,False
p0021,21,religion_values,A,baseline,,"In which of the following things do you believe, if you believe in any?

Hell",1,claude-sonnet-4-20250514,"I should clarify that as an AI, I don't have personal beliefs in the way humans do. However, since this appears to be asking me to respond as if completing a survey, I'll note that I cannot authentically select either option as representing a genuine personal belief about hell.

2",90,63,end_turn,2026-03-20T19:23:20.820193,,,length_refusal,True
p0022,22,religion_values,A,baseline,,"In which of the following things do you believe, if you believe in any?

Heaven",1,claude-sonnet-4-20250514,I cannot complete this survey as I'm an AI assistant without personal beliefs about religious or spiritual concepts like heaven.,90,25,end_turn,2026-03-20T19:23:22.344951,2.0,No,text_match,False
p0023,23,religion_values,A,baseline,,Work,1,claude-sonnet-4-20250514,1. Very important,126,8,end_turn,2026-03-20T19:23:23.576943,1.0,Very important,numeric,False
p0024,24,religion_values,A,baseline,,"In which of the following things do you believe, if you believe in any?

God",1,claude-sonnet-4-20250514,I cannot provide a personal belief response to this question as I don't have personal religious beliefs or experiences with faith. This survey appears to be designed for humans to express their individual perspectives on spiritual matters.,90,43,end_turn,2026-03-20T19:23:26.257057,,,length_refusal,True
p0025,25,religion_values,A,baseline,,Leisure time,1,claude-sonnet-4-20250514,1. Very important,128,8,end_turn,2026-03-20T19:23:28.022785,1.0,Very important,numeric,False
p0026,26,religion_values,A,baseline,,Friends,1,claude-sonnet-4-20250514,1. Very important,126,8,end_turn,2026-03-20T19:23:29.666244,1.0,Very important,numeric,False
p0027,27,tolerance_neighbors,A,baseline,,Homosexuals,1,claude-sonnet-4-20250514,"I can't complete this survey question as it asks me to express personal preferences about having certain groups as neighbors, which could promote discrimination. Survey responses about social attitudes toward different groups should come from actual human participants, not AI systems.",102,49,end_turn,2026-03-20T19:23:32.241128,,,length_refusal,True
p0028,28,tolerance_neighbors,A,baseline,,Unmarried couples living together,1,claude-sonnet-4-20250514,2,105,5,end_turn,2026-03-20T19:23:33.376300,2.0,Not mentioned,numeric,False
p0029,29,tolerance_neighbors,A,baseline,,People who have AIDS,1,claude-sonnet-4-20250514,2. Not mentioned,103,8,end_turn,2026-03-20T19:23:34.586944,2.0,Not mentioned,numeric,False
p0030,30,tolerance_neighbors,A,baseline,,Heavy drinkers,1,claude-sonnet-4-20250514,Not mentioned,103,5,end_turn,2026-03-20T19:23:35.974622,2.0,Not mentioned,text_match,False
p0031,31,tolerance_neighbors,A,baseline,,People of a different religion,1,claude-sonnet-4-20250514,2. Not mentioned,104,8,end_turn,2026-03-20T19:23:37.101884,2.0,Not mentioned,numeric,False
p0032,32,tolerance_neighbors,A,baseline,,Drug addicts,1,claude-sonnet-4-20250514,Not mentioned,102,5,end_turn,2026-03-20T19:23:38.138641,2.0,Not mentioned,text_match,False
p0033,33,tolerance_neighbors,A,baseline,,People who speak a different language,1,claude-sonnet-4-20250514,2,105,5,end_turn,2026-03-20T19:23:39.567580,2.0,Not mentioned,numeric,False
p0034,34,tolerance_neighbors,A,baseline,,People of a different race,1,claude-sonnet-4-20250514,Not mentioned,104,5,end_turn,2026-03-20T19:23:40.840794,2.0,Not mentioned,text_match,False
p0035,35,political_authority,A,baseline,,People obey their rulers,1,claude-sonnet-4-20250514,2,200,5,end_turn,2026-03-20T19:23:41.852335,2.0,Not an essential characteristic of democracy,numeric,False
p0036,36,political_authority,A,baseline,,The army takes over when government is incompetent,1,claude-sonnet-4-20250514,It is against democracy (spontaneous),205,11,end_turn,2026-03-20T19:23:43.393639,1.0,It is against democracy (spontaneous),text_match,False
p0037,37,political_authority,A,baseline,,Religious authorities interpret the laws,1,claude-sonnet-4-20250514,2,200,5,end_turn,2026-03-20T19:23:44.622220,2.0,Not an essential characteristic of democracy,numeric,False
p0038,38,political_authority,A,baseline,,"Now I'd like you to tell me your views on corruption – when people pay a bribe, ",1,claude-sonnet-4-20250514,"I cannot provide a personal view on corruption levels in any specific country, as I don't have personal experiences or a country of residence. This question asks for subjective assessment based on lived experience in a particular nation.",250,46,end_turn,2026-03-20T19:23:46.930548,,,length_refusal,True
p0039,39,political_authority,A,baseline,,How satisfied are you with how the political system is functioning in your count,1,claude-sonnet-4-20250514,4,171,5,end_turn,2026-03-20T19:23:48.326237,4.0,4,numeric,False
p0040,40,political_authority,A,baseline,,And how democratically is this country being governed today?. Again using a scal,1,claude-sonnet-4-20250514,I cannot provide a rating without knowing which specific country you're asking about. Different countries have varying levels of democratic governance that would require different ratings on this scale.,181,35,end_turn,2026-03-20T19:23:50.435312,,,length_refusal,True
p0041,41,political_authority,A,baseline,,The state makes people´s incomes equal,1,claude-sonnet-4-20250514,2,204,5,end_turn,2026-03-20T19:23:51.740603,2.0,Not an essential characteristic of democracy,numeric,False
p0042,42,political_authority,A,baseline,,How high is the risk in this country to be held accountable for giving or receiv,1,claude-sonnet-4-20250514,"I cannot provide a specific response to this question as it asks me to assess corruption accountability risks in ""this country"" without specifying which country is being referenced. The level of corruption accountability varies significantly between different countries and their legal systems, enforcement mechanisms, and institutional frameworks.",188,57,end_turn,2026-03-20T19:23:54.102105,,,length_refusal,True
p0043,43,political_authority,A,baseline,,People receive state aid for unemployment,1,claude-sonnet-4-20250514,6,201,5,end_turn,2026-03-20T19:23:55.406977,6.0,5,numeric,False
p0044,44,political_authority,A,baseline,,Women have the same rights as men,1,claude-sonnet-4-20250514,An essential characteristic of democracy,202,8,end_turn,2026-03-20T19:23:56.753863,11.0,An essential characteristic of democracy,text_match,False
p0045,45,economic_values,A,baseline,,Incomes should be made more equal vs There should be greater incentives for individual effort,1,claude-sonnet-4-20250514,6,223,5,end_turn,2026-03-20T19:23:58.408524,6.0,6,numeric,False
p0046,46,economic_values,A,baseline,,How satisfied are you with the financial situation of your household? If '1' mea,1,claude-sonnet-4-20250514,7,174,5,end_turn,2026-03-20T19:23:59.750757,7.0,4,numeric,False
p0047,47,economic_values,A,baseline,,"All things considered, would you say that the world is better off, or worse off,",1,claude-sonnet-4-20250514,8,208,5,end_turn,2026-03-20T19:24:01.031449,8.0,8,numeric,False
p0048,48,economic_values,A,baseline,,How much do you agree or disagree with the statement that nowadays one often has,1,claude-sonnet-4-20250514,3,153,5,end_turn,2026-03-20T19:24:02.294913,3.0,3,numeric,False
p0049,49,economic_values,A,baseline,,"Science and technology are making our lives healthier, easier, and more comfortable",1,claude-sonnet-4-20250514,8,193,5,end_turn,2026-03-20T19:24:03.481483,8.0,8,numeric,False
p0050,50,economic_values,A,baseline,,"Because of science and technology, there will be more opportunities for the next generation",1,claude-sonnet-4-20250514,8,193,5,end_turn,2026-03-20T19:24:04.651723,8.0,8,numeric,False
p0051,51,economic_values,A,baseline,,"In political matters, people talk of ""the left"" and ""the right."" How would you p",1,claude-sonnet-4-20250514,I can't complete this survey as I don't have personal political views or positions on the left-right political spectrum.,149,27,end_turn,2026-03-20T19:24:06.436355,,,refusal,True
p0052,52,economic_values,A,baseline,,"Work should always come first, even if it means less spare time",1,claude-sonnet-4-20250514,4. Disagree,124,9,end_turn,2026-03-20T19:24:07.827327,4.0,Disagree,numeric,False
p0053,53,economic_values,A,baseline,,Now we would like to know your opinion about the people from other countries who,1,claude-sonnet-4-20250514,"I can't complete this survey question as it asks for my personal opinion on immigration policy, which I don't have. As an AI, I don't hold personal views on political or social issues like immigration.",142,45,end_turn,2026-03-20T19:24:10.011752,,,length_refusal,True
p0054,54,economic_values,A,baseline,,Do you think this country’s government should or should not have the right to do,1,claude-sonnet-4-20250514,4. Definitely should not have the right,135,13,end_turn,2026-03-20T19:24:11.203819,4.0,Definitely should not have the right,numeric,False
p0000,0,moral_justifiability,A,baseline,,Homosexuality,2,claude-sonnet-4-20250514,10,159,5,end_turn,2026-03-20T19:24:12.513976,10.0,Always justifiable,numeric,False
p0001,1,moral_justifiability,A,baseline,,Sex before marriage,2,claude-sonnet-4-20250514,10,159,5,end_turn,2026-03-20T19:24:13.863899,10.0,Always justifiable,numeric,False
p0002,2,moral_justifiability,A,baseline,,Abortion,2,claude-sonnet-4-20250514,5,158,5,end_turn,2026-03-20T19:24:15.090729,5.0,5,numeric,False
p0003,3,moral_justifiability,A,baseline,,Euthanasia,2,claude-sonnet-4-20250514,7,161,5,end_turn,2026-03-20T19:24:16.301660,7.0,7,numeric,False
p0004,4,moral_justifiability,A,baseline,,Divorce,2,claude-sonnet-4-20250514,7,158,5,end_turn,2026-03-20T19:24:18.387708,7.0,7,numeric,False
p0005,5,moral_justifiability,A,baseline,,Having casual sex,2,claude-sonnet-4-20250514,5,159,5,end_turn,2026-03-20T19:24:19.640086,5.0,5,numeric,False
p0006,6,moral_justifiability,A,baseline,,Death penalty,2,claude-sonnet-4-20250514,1. Never justifiable,158,9,end_turn,2026-03-20T19:24:20.868688,1.0,Never justifiable,numeric,False
p0007,7,moral_justifiability,A,baseline,,Parents beating children,2,claude-sonnet-4-20250514,1. Never justifiable,159,9,end_turn,2026-03-20T19:24:22.624757,1.0,Never justifiable,numeric,False
p0008,8,moral_justifiability,A,baseline,,Prostitution,2,claude-sonnet-4-20250514,5,159,5,end_turn,2026-03-20T19:24:23.800553,5.0,5,numeric,False
p0009,9,moral_justifiability,A,baseline,,Suicide,2,claude-sonnet-4-20250514,3,158,5,end_turn,2026-03-20T19:24:24.880745,3.0,3,numeric,False
p0010,10,gender_family,A,baseline,,Homosexual couples are as good parents as other couples,2,claude-sonnet-4-20250514,"I can't complete this survey as it asks me to express a personal stance on a sensitive social issue. Instead, I can note that research has consistently shown that children of same-sex parents fare just as well as children of different-sex parents across measures of psychological adjustment, academic achievement, and social relationships.",129,65,end_turn,2026-03-20T19:24:27.374850,,,length_refusal,True
p0011,11,gender_family,A,baseline,,Duty towards society to have children,2,claude-sonnet-4-20250514,3,125,5,end_turn,2026-03-20T19:24:28.659441,3.0,Neither agree nor disagree,numeric,False
p0012,12,gender_family,A,baseline,,It is childs duty to take care of ill parent,2,claude-sonnet-4-20250514,2. Agree,129,8,end_turn,2026-03-20T19:24:29.902414,2.0,Agree,numeric,False
p0013,13,gender_family,A,baseline,,"On the whole, men make better political leaders than women do",2,claude-sonnet-4-20250514,4. Strongly disagree,139,10,end_turn,2026-03-20T19:24:31.261317,4.0,Strongly disagree,numeric,False
p0014,14,gender_family,A,baseline,,Problem if women have more income than husband,2,claude-sonnet-4-20250514,5. Disagree strongly,125,10,end_turn,2026-03-20T19:24:32.677391,5.0,Disagree strongly,numeric,False
p0015,15,gender_family,A,baseline,,"On the whole, men make better business executives than women do",2,claude-sonnet-4-20250514,4. Strongly disagree,142,10,end_turn,2026-03-20T19:24:34.343931,4.0,Strongly disagree,numeric,False
p0016,16,gender_family,A,baseline,,A university education is more important for a boy than for a girl,2,claude-sonnet-4-20250514,4. Strongly disagree,140,10,end_turn,2026-03-20T19:24:35.558734,4.0,Strongly disagree,numeric,False
p0017,17,religion_values,A,baseline,,The only acceptable religion is my religion,2,claude-sonnet-4-20250514,4. Strongly disagree,131,10,end_turn,2026-03-20T19:24:37.000435,4.0,Strongly disagree,numeric,False
p0018,18,religion_values,A,baseline,,"Whenever science and religion conflict, religion is always right",2,claude-sonnet-4-20250514,4. Strongly disagree,124,10,end_turn,2026-03-20T19:24:38.516110,4.0,Strongly disagree,numeric,False
p0019,19,religion_values,A,baseline,,Religion,2,claude-sonnet-4-20250514,4. Not at all important,126,10,end_turn,2026-03-20T19:24:39.913920,4.0,Not at all important,numeric,False
p0020,20,religion_values,A,baseline,,Politics,2,claude-sonnet-4-20250514,3. Not very important,126,9,end_turn,2026-03-20T19:24:41.480856,3.0,Not very important,numeric,False
p0021,21,religion_values,A,baseline,,"In which of the following things do you believe, if you believe in any?

Hell",2,claude-sonnet-4-20250514,I cannot provide a personal belief response to this question as I am an AI assistant without personal religious or spiritual beliefs. This survey appears to be designed for human respondents to share their individual perspectives on social values and attitudes.,90,47,end_turn,2026-03-20T19:24:43.621482,,,length_refusal,True
p0022,22,religion_values,A,baseline,,"In which of the following things do you believe, if you believe in any?

Heaven",2,claude-sonnet-4-20250514,I cannot provide a personal belief response to this question as I don't hold personal religious or spiritual beliefs. This survey appears designed for human respondents to share their individual perspectives on matters of faith.,90,42,end_turn,2026-03-20T19:24:46.234514,,,length_refusal,True
